model,weights,layers,params,params_m,gradients,gflops,preprocess_ms,inference_ms,postprocess_ms,total_ms,fps_inference_only,fps_end_to_end,precision,recall,map50,map50_95
nano_original_ema_768,G:\XR_Xray_Detection\runs\train_attention_ablation_finetune_768\nano_original_ema_lr0005_img768_cm20\weights\best.pt,151,3028948,3.02895,0,12.16396,0.79797,0.97583,0.64208,2.41587,1024.76942,413.92926,0.9270922293377964,0.8879755135275614,0.9218388054259009,0.7782811764550088
nano_original_ema_aifi_lite_768,G:\XR_Xray_Detection\runs\train_attention_ablation_finetune_768\nano_original_ema_aifi_lite_lr0005_img768_cm20\weights\best.pt,168,3349012,3.34901,0,12.53621,0.79556,1.04084,0.63979,2.47618,960.7657,403.8472,0.9489719864183385,0.8798819415117672,0.9309189866785461,0.7820266605529549
