Model,mAP50_95_mean,mAP50_95_std,AP_small_mean,AP_small_std,AP_thin_mean,AP_thin_std,FPS_mean
YOLOv8n,0.78790,0.002,0.67436,0.001,0.84901,0.002,441.76
XR-Nano,0.79832,0.001,0.69569,0.001,0.86498,0.002,482.51
