variant,params,best_epoch,precision,recall,f1,map50,map75,map50_95,ap_small,recall_small,ap_thin,recall_thin,delta_map50_95_vs_ref,delta_ap_small_vs_ref,delta_ap_thin_vs_ref
XR-Lite,3438612,251,0.94919,0.87726,0.91007,0.92945,0.85244,0.78523,0.6902600761088861,0.8598130841121495,0.8500327287073707,0.9434628975265018,0.0,0.0,0.0
XR-Plus,3305792,195,0.94223,0.87739,0.90681,0.93056,0.84676,0.77836,0.6989322132410678,0.8598130841121495,0.8336691766608549,0.9257950530035336,-0.006869999999999932,0.008672137132181734,-0.01636355204651574
XR-Plus-v2,3622624,257,0.92936,0.87176,0.89819,0.92099,0.8332,0.7673,0.674319251374164,0.8411214953271028,0.8245131308963264,0.911660777385159,-0.01793,-0.015940824734722026,-0.025519597811044292
XR-Plus-v3,3503040,298,0.93438,0.87579,0.90259,0.92574,0.83763,0.76309,0.6791260149078047,0.8317757009345794,0.8435397645202268,0.9293286219081273,-0.022139999999999938,-0.011134061201081402,-0.006492964187143846
XR-Plus-v4,3846784,282,0.93798,0.87331,0.90237,0.92586,0.82871,0.77156,0.6684394507274051,0.8504672897196262,0.8417101986926319,0.9363957597173145,-0.01366999999999996,-0.021820625381480996,-0.008322530014738816
