model,weights,layers,params,params_m,gradients,gflops,preprocess_ms,inference_ms,postprocess_ms,total_ms,fps_inference_only,fps_end_to_end,precision,recall,map50,map50_95
XR-Nano,G:\XR_Xray_Detection\runs\train_stage2\yolov8n_pcn_egi\weights\best.pt,130,3013332,3.01333,0,8.23547,0.57168,0.6546,0.64224,1.86851,1527.65982,535.18578,0.9403732353834573,0.887819911655901,0.9385571386076318,0.7923163615702858
EMA-Lite,G:\XR_Xray_Detection\runs\train_stage4\yolov8n_xr_ema\weights\best.pt,163,3118548,3.11855,0,8.39153,0.56466,0.71577,0.65678,1.93721,1397.09713,516.20572,0.9483546858947048,0.8769155408924921,0.9307811137038607,0.7872373999445524
XR-Lite,G:\XR_Xray_Detection\runs\train_stage4\yolov8n_xr_lite\weights\best.pt,180,3438612,3.43861,0,8.65004,0.57735,0.77119,0.65676,2.0053,1296.70095,498.67912,0.9517750385909002,0.8775365285130549,0.9297326981402517,0.784645748444119
nano_original_ema,G:\XR_Xray_Detection\runs\train_attention_ablation\nano_original_ema\weights\best.pt,151,3028948,3.02895,0,8.44719,0.55712,0.70823,0.63974,1.90509,1411.96254,524.90948,0.9380899696614856,0.8836179664579508,0.9256530656760652,0.7853899251258963
nano_original_aifi,G:\XR_Xray_Detection\runs\train_attention_ablation\nano_original_aifi\weights\best.pt,139,3803092,3.80309,0,8.65654,0.54889,0.75493,0.63571,1.93952,1324.63314,515.5907,0.9372312780493761,0.8689524080149572,0.9225344930808349,0.7615824113170494
nano_original_ema_aifi_lite,G:\XR_Xray_Detection\runs\train_attention_ablation\nano_original_ema_aifi_lite\weights\best.pt,168,3349012,3.34901,0,8.7057,0.55684,0.75625,0.64939,1.96248,1322.31959,509.55925,0.9212868908235712,0.8904046945418006,0.9298053347952989,0.7855375744169831
nano_ema_lite_original_aifi,G:\XR_Xray_Detection\runs\train_attention_ablation\nano_ema_lite_original_aifi\weights\best.pt,172,3908308,3.90831,0,8.8126,0.55533,0.81795,0.64213,2.0154,1222.5715,496.17868,0.9472616332792935,0.869815038637829,0.9266336123978477,0.7655695763870923
nano_original_ema_original_aifi,G:\XR_Xray_Detection\runs\train_attention_ablation\nano_original_ema_original_aifi\weights\best.pt,160,3818708,3.81871,0,8.86826,0.54924,0.83477,0.64644,2.03045,1197.93205,492.50073,0.9514113190613753,0.8654262861344303,0.9236923486610354,0.7631041031664407
