model,weights,layers,params,params_m,gradients,gflops,preprocess_ms,inference_ms,postprocess_ms,total_ms,fps_inference_only,fps_end_to_end,precision,recall,map50,map50_95
A3_pcn_egi,G:\XR_Xray_Detection\runs\train_stage2\yolov8n_pcn_egi\weights\best.pt,130,3013332,3.01333,0,8.23547,0.66879,0.96755,0.7486,2.38494,1033.54131,419.29785,0.9403732353834573,0.887819911655901,0.9385571386076318,0.7923163615702858
XR-Lite,G:\XR_Xray_Detection\runs\train_stage4\yolov8n_xr_lite\weights\best.pt,180,3438612,3.43861,0,8.65004,0.6077,0.86262,0.71264,2.18296,1159.26415,458.09411,0.9517750385909002,0.8775365285130549,0.9297326981402517,0.784645748444119
P2-Lite,G:\XR_Xray_Detection\runs\train_stage5\yolov8n_xr_p2lite\weights\best.pt,146,2880512,2.88051,0,11.50725,0.60261,1.18661,0.75203,2.54125,842.73735,393.50639,0.9510095204496114,0.8668083900793752,0.9279420278873891,0.7765332650527318
XR-Plus,G:\XR_Xray_Detection\runs\train_stage5\yolov8n_xr_plus\weights\best.pt,196,3305792,3.30579,0,11.92182,0.60982,1.28014,0.73235,2.6223,781.16724,381.34425,0.9412056359090406,0.8790658503032339,0.9309719545822958,0.7783432295331207
