model,weights,ap_small,recall_small,small_gt_count,ap_thin,recall_thin,thin_gt_count,ap_overlap,recall_overlap,overlap_gt_count
XR-Plus-Original-EMA,runs\train_plus_original_ema_candidates\xr_plus_original_ema_img768_lr0005_cm20\weights\best.pt,0.6708632084093571,0.8504672897196262,107,0.8477910321333789,0.9399293286219081,283,0.7951166292258531,0.9247311827956989,372
XR-Plus-Original-EMA-AIFI-Lite,runs\train_plus_original_ema_candidates\xr_plus_original_ema_aifi_lite_img768_lr0005_cm20\weights\best.pt,0.6693653204779616,0.8037383177570093,107,0.8493532827663072,0.9328621908127208,283,0.8256225285039163,0.9327956989247311,372
