model,split,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
nano+原版 EMA + AIFI-Lite,overall,Powerbank,2778,2945,0.944286,0.903556,0.923472,0.957984,0.892544,0.802186
nano+原版 EMA + AIFI-Lite,overall,Scissors,2494,2708,0.945023,0.907716,0.925994,0.955166,0.889376,0.80927
nano+原版 EMA + AIFI-Lite,overall,Wrench,2001,2087,0.962751,0.953591,0.958149,0.981826,0.951179,0.900703
nano+原版 EMA + AIFI-Lite,overall,Gun,1466,1579,0.969409,0.919569,0.943832,0.978593,0.9229,0.857436
nano+原版 EMA + AIFI-Lite,overall,Bullet,1111,1120,0.941007,0.854534,0.895688,0.917073,0.857669,0.765269
nano+原版 EMA + AIFI-Lite,overall,Sprayer,1237,1257,0.970377,0.938148,0.95399,0.974256,0.925994,0.853538
nano+原版 EMA + AIFI-Lite,overall,HandCuffs,1287,1292,0.986945,0.994745,0.99083,0.994112,0.983804,0.93771
nano+原版 EMA + AIFI-Lite,overall,Knife,2048,2259,0.931201,0.75166,0.831853,0.854453,0.724784,0.662434
nano+原版 EMA + AIFI-Lite,overall,Lighter,1974,1988,0.951476,0.708753,0.812371,0.808414,0.69941,0.650568
nano+原版 EMA + AIFI-Lite,easy,Baton,373,373,0.979468,0.994638,0.986995,0.994233,0.983558,0.933759
nano+原版 EMA + AIFI-Lite,easy,Plier,872,872,0.993731,0.993119,0.993425,0.994896,0.994307,0.952283
nano+原版 EMA + AIFI-Lite,easy,Hammer,1288,1288,0.98731,0.993012,0.990153,0.99423,0.982398,0.962377
nano+原版 EMA + AIFI-Lite,easy,Powerbank,1347,1347,0.921276,0.938295,0.929707,0.971555,0.960357,0.885999
nano+原版 EMA + AIFI-Lite,easy,Scissors,983,983,0.968634,0.986775,0.977621,0.989693,0.981307,0.910319
nano+原版 EMA + AIFI-Lite,easy,Wrench,714,714,0.973187,0.978992,0.976081,0.990127,0.971232,0.93555
nano+原版 EMA + AIFI-Lite,easy,Gun,406,406,0.974617,0.972906,0.973761,0.991655,0.987851,0.931734
nano+原版 EMA + AIFI-Lite,easy,Bullet,409,409,0.98729,0.949612,0.968084,0.969027,0.954884,0.864709
nano+原版 EMA + AIFI-Lite,easy,Sprayer,496,496,0.993814,0.971724,0.982645,0.994344,0.984491,0.925585
nano+原版 EMA + AIFI-Lite,easy,HandCuffs,436,436,0.994672,1.0,0.997329,0.99369,0.993626,0.958657
nano+原版 EMA + AIFI-Lite,easy,Knife,928,928,0.941955,0.8125,0.872452,0.891616,0.770097,0.703027
nano+原版 EMA + AIFI-Lite,easy,Lighter,1230,1230,0.970063,0.763975,0.854772,0.843006,0.755164,0.716167
nano+原版 EMA + AIFI-Lite,hard,Baton,278,311,0.940515,0.913183,0.926648,0.961926,0.913556,0.82512
nano+原版 EMA + AIFI-Lite,hard,Plier,1050,1204,0.943332,0.940175,0.941751,0.974785,0.904951,0.806503
nano+原版 EMA + AIFI-Lite,hard,Hammer,820,925,0.930962,0.922162,0.926541,0.962921,0.886017,0.815916
nano+原版 EMA + AIFI-Lite,hard,Powerbank,1030,1197,0.961119,0.867357,0.911834,0.944819,0.822995,0.731128
nano+原版 EMA + AIFI-Lite,hard,Scissors,1008,1222,0.954961,0.867557,0.909163,0.944918,0.858066,0.781334
nano+原版 EMA + AIFI-Lite,hard,Wrench,786,872,0.939644,0.928382,0.933979,0.964898,0.903465,0.842601
nano+原版 EMA + AIFI-Lite,hard,Gun,541,654,0.971391,0.91896,0.944448,0.97869,0.888807,0.840168
nano+原版 EMA + AIFI-Lite,hard,Bullet,403,412,0.946174,0.834951,0.88709,0.906772,0.840078,0.739213
nano+原版 EMA + AIFI-Lite,hard,Sprayer,341,361,0.948197,0.844875,0.893559,0.923079,0.843199,0.767866
nano+原版 EMA + AIFI-Lite,hard,HandCuffs,549,554,0.979503,0.990975,0.985205,0.993904,0.97159,0.896231
nano+原版 EMA + AIFI-Lite,hard,Knife,619,829,0.897303,0.702051,0.787758,0.818088,0.693895,0.633604
