model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
A2-EGI,Baton,143,148,0.954058,0.966216,0.960099,0.973801,0.907704,0.8489
A2-EGI,Plier,142,168,0.922831,0.783012,0.847192,0.908071,0.718109,0.683646
A2-EGI,Hammer,135,142,0.968332,0.978873,0.973574,0.984313,0.973739,0.920479
A2-EGI,Powerbank,147,154,0.916316,0.924332,0.920307,0.963632,0.94205,0.821284
A2-EGI,Scissors,157,166,0.927143,0.873494,0.899519,0.939753,0.795327,0.73609
A2-EGI,Wrench,119,135,0.922308,0.879367,0.900326,0.930202,0.897141,0.821406
A2-EGI,Gun,124,143,0.934876,0.903491,0.918916,0.957635,0.822918,0.756386
A2-EGI,Bullet,162,162,0.976955,0.907407,0.940898,0.949883,0.915463,0.808412
A2-EGI,Sprayer,144,146,0.985533,0.933166,0.958635,0.968308,0.933525,0.882903
A2-EGI,HandCuffs,156,156,0.983813,0.987179,0.985493,0.980484,0.977677,0.924965
A2-EGI,Knife,112,132,0.923717,0.733889,0.817933,0.844818,0.716425,0.666876
A2-EGI,Lighter,140,142,0.944523,0.719398,0.816731,0.81634,0.702179,0.658356
